genome.position,type,gene,start,end,Operon.ID,strand
1169280,Primary.TSS,Rv1046c,1169210,1169430,700,-
1169423,CDS,Rv1047,1170511,1170731,701,+
1172153,CDS,Rv1048c,1172083,1172303,702,-
1172386,Primary.TSS,Rv1049,1172236,1172456,703,+
1172881,CDS,Rv1050,1172731,1172951,704,+
1174700,CDS,Rv1051c,1174630,1174850,705,-
1175662,Primary.TSS,Rv1052,1175512,1175732,706,+
1176286,CDS,Rv1053c,1176216,1176436,707,-
1176565,Primary.TSS,Rv1054,1176415,1176635,708,+
1177206,Primary.TSS,Rv1055,1177056,1177276,708,+
1177628,CDS,Rv1056,1177971,1178191,709,+
1179396,CDS,Rv1057,1179246,1179466,710,+
1180684,CDS,Rv1058,1180534,1180754,711,+
1182391,CDS,Rv1059,1182247,1182467,712,+
1183508,CDS,Rv1060,1183358,1183578,713,+
1184015,Primary.TSS,Rv1061,1183865,1184085,713,+
1184883,CDS,Rv1062,1184733,1184953,713,+
1186823,CDS,Rv1063c,1186753,1186973,714,-
1187323,CDS,Rv1064c,1187253,1187473,715,-
1187351,Primary.TSS,Rv1065,1187201,1187421,716,+
1187998,CDS,Rv1066,1187848,1188068,716,+
1190424,CDS,Rv1067c,1190354,1190574,717,-
1192148,CDS,Rv1068c,1192078,1192298,718,-
1194546,Primary.TSS,Rv1069c,1194476,1194696,719,-
1195043,CDS,Rv1070c,1194973,1195193,719,-
1196092,CDS,Rv1071c,1196022,1196242,719,-
1196175,Primary.TSS,Rv1072,1196025,1196245,720,+
1197123,Primary.TSS,Rv1073,1196973,1197193,721,+
1199411,Primary.TSS,Rv1074c,1199341,1199561,722,-
1200382,Primary.TSS,Rv1075c,1200312,1200532,723,-
1200767,CDS,Rv1076,1200617,1200837,724,+
1201717,Primary.TSS,Rv1077,1201567,1201787,725,+
1203267,Primary.TSS,Rv1078,1203117,1203337,726,+
1204067,CDS,Rv1079,1203917,1204137,726,+
1206016,Primary.TSS,Rv1080c,1205946,1206166,727,-
1206454,Primary.TSS,Rv1081c,1206384,1206604,728,-
1206480,Primary.TSS,Rv1082,1206330,1206550,729,+
1207383,CDS,Rv1083,1207233,1207453,729,+
1207636,CDS,Rv1084,1207486,1207706,729,+
1210523,Primary.TSS,Rv1085c,1210453,1210673,730,-
1210593,Primary.TSS,Rv1086,1210443,1210663,731,+
1211517,Primary.TSS,Rv1087,1211367,1211587,732,+
1214040,CDS,Rv1087A,1214082,1214302,733,+
1214513,CDS,Rv1088,1214363,1214583,734,+
1214769,CDS,Rv1089,1214619,1214839,734,+
1215199,Primary.TSS,Rv1089A,1215049,1215269,735,+
1215599,CDS,Rv1090,1215449,1215669,735,+
1216469,CDS,Rv1091,1216319,1216539,736,+
1220487,Primary.TSS,Rv1092c,1220417,1220637,737,-
1220538,Primary.TSS,Rv1093,1220388,1220608,738,+
1221959,Primary.TSS,Rv1094,1221809,1222029,739,+
1222844,Primary.TSS,Rv1095,1222694,1222914,740,+
1223986,Primary.TSS,Rv1096,1223836,1224056,741,+
1226144,CDS,Rv1097c,1226074,1226294,742,-
1227565,CDS,Rv1098c,1227495,1227715,742,-
1228684,Primary.TSS,Rv1099c,1228614,1228834,742,-
1228683,CDS,Rv1100,1229221,1229441,743,+
1230548,CDS,Rv1101c,1230478,1230698,744,-
1231208,Primary.TSS,Rv1102c,1231138,1231358,745,-
1231291,CDS,Rv1103c,1231221,1231441,745,-
1231299,Primary.TSS,Rv1104,1231149,1231369,746,+
1232311,CDS,Rv1105,1232563,1232783,747,+
1233956,CDS,Rv1106c,1233886,1234106,748,-
1234357,Primary.TSS,Rv1107c,1234287,1234507,748,-
1235460,CDS,Rv1108c,1235390,1235610,748,-
1236095,Primary.TSS,Rv1109c,1236025,1236245,748,-
1236184,Primary.TSS,Rv1110,1236034,1236254,749,+
1238192,Primary.TSS,Rv1111c,1238122,1238342,750,-
1238255,CDS,Rv1112,1238105,1238325,751,+
1239382,Primary.TSS,Rv1113,1239232,1239452,752,+
1239610,CDS,Rv1114,1239460,1239680,752,+
1240187,CDS,Rv1115,1240037,1240257,753,+
1241003,CDS,Rv1116,1240853,1241073,754,+
1241401,Primary.TSS,Rv1116A,1241331,1241551,755,-
1241603,Primary.TSS,Rv1117,1241453,1241673,756,+
1242831,CDS,Rv1118c,1242761,1242981,757,-
1243013,CDS,Rv1119c,1242943,1243163,757,-
1243504,CDS,Rv1120c,1243434,1243654,757,-
1243671,Primary.TSS,Rv1121,1243521,1243741,758,+
1245129,CDS,Rv1122,1244979,1245199,758,+
1247052,CDS,Rv1123c,1246982,1247202,759,-
1247129,Primary.TSS,Rv1124,1246979,1247199,760,+
1248082,CDS,Rv1125,1247932,1248152,760,+
1249935,CDS,Rv1126c,1249865,1250085,761,-
1251410,Primary.TSS,Rv1127c,1251340,1251560,761,-
1252972,CDS,Rv1128c,1252902,1253122,762,-
1254534,CDS,Rv1129c,1254464,1254684,763,-
1254555,CDS,Rv1130,1254405,1254625,764,+
1256132,CDS,Rv1131,1255982,1256202,764,+
1257325,CDS,Rv1132,1257175,1257395,764,+
1261711,Primary.TSS,Rv1133c,1261641,1261861,765,-
1261922,CDS,Rv1134,1261772,1261992,766,+
1264314,CDS,Rv1135A,1264175,1264395,767,+
1264325,Primary.TSS,Rv1135c,1264255,1264475,768,-
1264606,CDS,Rv1136,1264456,1264676,769,+
1265455,CDS,Rv1137c,1265385,1265605,770,-
1266488,CDS,Rv1138c,1266418,1266638,770,-
1267030,Primary.TSS,Rv1139c,1266960,1267180,770,-
1267276,Primary.TSS,Rv1140,1267126,1267346,771,+
1269009,Primary.TSS,Rv1141c,1268939,1269159,772,-
1269958,Primary.TSS,Rv1142c,1269888,1270108,773,-
1269936,Primary.TSS,Rv1143,1269786,1270006,774,+
1271156,CDS,Rv1144,1271006,1271226,774,+
1272423,CDS,Rv1145,1272273,1272493,775,+
1273355,CDS,Rv1146,1273205,1273425,775,+
1274900,CDS,Rv1147,1274750,1274970,776,+
1277748,CDS,Rv1148c,1277678,1277898,777,-
1277893,Primary.TSS,Rv1149,1277743,1277963,778,+
1278009,Primary.TSS,Rv1150,1277859,1278079,778,+
1279617,Primary.TSS,Rv1151c,1279547,1279767,779,-
1279655,Primary.TSS,Rv1152,1279505,1279725,780,+
1280846,CDS,Rv1153c,1280776,1280996,781,-
1281484,CDS,Rv1154c,1281414,1281634,781,-
1281429,Primary.TSS,Rv1155,1281279,1281499,782,+
1282306,Primary.TSS,Rv1156,1282156,1282376,783,+
1284171,CDS,Rv1157c,1284101,1284321,784,-
1284890,Primary.TSS,Rv1158c,1284820,1285040,784,-
1284992,CDS,Rv1159,1284899,1285119,785,+
1286568,Primary.TSS,Rv1159A,1286498,1286718,786,-
1286595,CDS,Rv1160,1286445,1286665,787,+
1287124,Primary.TSS,Rv1161,1286974,1287194,788,+
1291065,CDS,Rv1162,1290915,1291135,788,+
1292455,Primary.TSS,Rv1163,1292305,1292525,789,+
1293406,CDS,Rv1164,1293256,1293476,789,+
1293803,Primary.TSS,Rv1165,1293653,1293873,789,+
1296152,CDS,Rv1166,1296002,1296222,790,+
1298965,Primary.TSS,Rv1167c,1298895,1299115,791,-
1299804,CDS,Rv1168c,1299734,1299954,792,-
1300219,Primary.TSS,Rv1169c,1300149,1300369,792,-
1300304,CDS,Rv1170,1300808,1301028,793,+
1301226,Primary.TSS,Rv1171,1301076,1301296,794,+
1302747,Primary.TSS,Rv1172c,1302677,1302897,795,-
1302855,Primary.TSS,Rv1173,1302705,1302925,796,+
1306073,Primary.TSS,Rv1174c,1306003,1306223,797,-
1308226,CDS,Rv1175c,1308156,1308376,798,-
1308792,Primary.TSS,Rv1176c,1308722,1308942,798,-
1308908,Primary.TSS,Rv1177,1308758,1308978,799,+
1309364,CDS,Rv1178,1309214,1309434,799,+
1313451,Primary.TSS,Rv1179c,1313381,1313601,800,-
1313618,Primary.TSS,Rv1180,1313468,1313688,801,+
1315234,CDS,Rv1181,1316534,1316754,802,+
1320035,CDS,Rv1182,1321106,1321326,803,+
1321297,Primary.TSS,Rv1183,1321147,1321367,804,+
1325688,Primary.TSS,Rv1184c,1325618,1325838,805,-
1327513,Primary.TSS,Rv1185c,1327443,1327663,806,-
1329305,CDS,Rv1186c,1329235,1329455,807,-
1329390,Primary.TSS,Rv1187,1329240,1329460,808,+
1331021,CDS,Rv1188,1330871,1331091,808,+
1332092,CDS,Rv1189,1331942,1332162,809,+
1332980,CDS,Rv1190,1332830,1333050,809,+
1333931,CDS,Rv1191,1333781,1334001,810,+
1334927,CDS,Rv1192,1334777,1334997,811,+
1335794,CDS,Rv1193,1335644,1335864,811,+
1338513,Primary.TSS,Rv1194c,1338443,1338663,812,-
1338890,Primary.TSS,Rv1195,1338740,1338960,813,+
1339349,CDS,Rv1196,1340220,1340440,814,+
1340370,Primary.TSS,Rv1197,1340220,1340440,815,+
1340983,Primary.TSS,Rv1198,1340833,1341053,816,+
1342979,Primary.TSS,Rv1199c,1342909,1343129,817,-
1342599,Primary.TSS,Rv1200,1342449,1342669,818,+
1345169,CDS,Rv1201c,1345099,1345319,819,-
1345260,Primary.TSS,Rv1202,1345110,1345330,820,+
1346905,CDS,Rv1203c,1346835,1347055,821,-
1348727,Primary.TSS,Rv1204c,1348657,1348877,821,-
1348719,CDS,Rv1205,1348973,1349193,822,+
1349332,CDS,Rv1206,1349182,1349402,823,+
1351191,Primary.TSS,Rv1207,1351041,1351261,824,+
1351746,Primary.TSS,Rv1208,1351596,1351816,824,+
1353157,Primary.TSS,Rv1209,1353007,1353227,824,+
1353522,CDS,Rv1210,1353372,1353592,824,+
1354193,Primary.TSS,Rv1211,1354043,1354263,825,+
1355661,CDS,Rv1212c,1355591,1355811,826,-
1355836,Primary.TSS,Rv1213,1355686,1355906,827,+
1357625,CDS,Rv1214c,1357555,1357775,828,-
1359451,Primary.TSS,Rv1215c,1359381,1359601,829,-
1360146,CDS,Rv1216c,1360076,1360296,829,-
1361917,Primary.TSS,Rv1217c,1361847,1362067,829,-
1362863,Primary.TSS,Rv1218c,1362793,1363013,829,-
1363361,Primary.TSS,Rv1219c,1363291,1363511,829,-
1364177,Primary.TSS,Rv1220c,1364107,1364327,830,-
1364413,Primary.TSS,Rv1221,1364263,1364483,831,+
1365309,Primary.TSS,Rv1222,1365159,1365379,832,+
1365875,CDS,Rv1223,1365725,1365945,833,+
1367463,CDS,Rv1224,1367313,1367533,833,+
1368721,CDS,Rv1225c,1368651,1368871,834,-
1370295,CDS,Rv1226c,1370225,1370445,835,-
1371225,Primary.TSS,Rv1227c,1371155,1371375,835,-
1370920,CDS,Rv1228,1371075,1371295,836,+
1372949,CDS,Rv1229c,1372879,1373099,837,-
1374271,Primary.TSS,Rv1230c,1374201,1374421,837,-
1374864,CDS,Rv1231c,1374794,1375014,838,-
1376168,Primary.TSS,Rv1232c,1376098,1376318,838,-
1376826,Primary.TSS,Rv1233c,1376756,1376976,839,-
1376975,Primary.TSS,Rv1234,1376825,1377045,840,+
1377524,CDS,Rv1235,1377374,1377594,840,+
1378927,CDS,Rv1236,1378777,1378997,840,+
1379855,CDS,Rv1237,1379705,1379925,840,+
1380684,CDS,Rv1238,1380534,1380754,840,+
1383076,Primary.TSS,Rv1239c,1383006,1383226,841,-
1383183,Primary.TSS,Rv1240,1383033,1383253,842,+
1384278,Primary.TSS,Rv1241,1384128,1384348,843,+
1384535,CDS,Rv1242,1384385,1384605,843,+
1386677,CDS,Rv1243c,1386607,1386827,844,-
1386810,Primary.TSS,Rv1244,1386660,1386880,845,+
1388652,Primary.TSS,Rv1245c,1388582,1388802,846,-
1388978,CDS,Rv1246c,1388908,1389128,847,-
1389244,Primary.TSS,Rv1247c,1389174,1389394,847,-
1393417,Primary.TSS,Rv1248c,1393347,1393567,848,-
1394093,Primary.TSS,Rv1249c,1394023,1394243,849,-
1394179,CDS,Rv1250,1394411,1394631,850,+
1399240,CDS,Rv1251c,1399170,1399390,851,-
1400389,Primary.TSS,Rv1252c,1400319,1400539,852,-
1399967,Primary.TSS,Rv1253,1399817,1400037,853,+
1401658,CDS,Rv1254,1401508,1401728,853,+
1403386,CDS,Rv1255c,1403316,1403536,854,-
1404603,CDS,Rv1256c,1404533,1404753,854,-
1406084,CDS,Rv1257c,1406014,1406234,855,-
1407347,Primary.TSS,Rv1258c,1407277,1407497,855,-
1407339,CDS,Rv1259,1407189,1407409,856,+
1408185,Primary.TSS,Rv1260,1408035,1408255,856,+
1409933,Primary.TSS,Rv1261c,1409863,1410083,857,-
1410372,Primary.TSS,Rv1262c,1410302,1410522,857,-
1410431,CDS,Rv1263,1410281,1410501,858,+
1411894,CDS,Rv1264,1411842,1412062,859,+
1413260,CDS,Rv1265,1413221,1413441,860,+
1415865,Primary.TSS,Rv1266c,1415795,1416015,861,-
1417347,CDS,Rv1267c,1417277,1417497,862,-
1418356,CDS,Rv1268c,1418286,1418506,863,-
1418953,CDS,Rv1269c,1418883,1419103,864,-
1419776,Primary.TSS,Rv1270c,1419706,1419926,865,-
1420302,CDS,Rv1271c,1420232,1420452,866,-
1422397,Primary.TSS,Rv1272c,1422327,1422547,867,-
1424050,Primary.TSS,Rv1273c,1423980,1424200,867,-
1424172,Primary.TSS,Rv1274,1424022,1424242,868,+
1424751,CDS,Rv1275,1424601,1424821,868,+
1425914,CDS,Rv1276c,1425844,1426064,869,-
1426164,CDS,Rv1277,1426014,1426234,870,+
1427414,CDS,Rv1278,1427264,1427484,870,+
1430062,CDS,Rv1279,1429912,1430132,870,+
1433532,Primary.TSS,Rv1280c,1433462,1433682,871,-
1435271,CDS,Rv1281c,1435201,1435421,871,-
1436143,CDS,Rv1282c,1436073,1436293,871,-
1437117,CDS,Rv1283c,1437047,1437267,871,-
1437271,Primary.TSS,Rv1284,1437121,1437341,872,+
1437909,CDS,Rv1285,1437759,1437979,873,+
1438907,CDS,Rv1286,1438757,1438977,873,+
1440805,Primary.TSS,Rv1287,1440655,1440875,874,+
1441348,CDS,Rv1288,1441198,1441418,875,+
1442767,CDS,Rv1289,1442623,1442843,876,+
1445058,CDS,Rv1290A,1444908,1445128,877,+
1445417,Primary.TSS,Rv1290c,1445347,1445567,878,-
1446265,Primary.TSS,Rv1291c,1446195,1446415,879,-
1446379,Primary.TSS,Rv1292,1446229,1446449,880,+
1448028,CDS,Rv1293,1447878,1448098,880,+
1448880,Primary.TSS,Rv1294,1448730,1448950,880,+
1450697,CDS,Rv1295,1450547,1450767,880,+
1451997,CDS,Rv1296,1451847,1452067,881,+
1453006,Primary.TSS,Rv1297,1452856,1453076,882,+
1455094,Primary.TSS,Rv1298,1454944,1455164,883,+
1455178,Primary.TSS,Rv1299,1455028,1455248,884,+
1456565,CDS,Rv1300,1456415,1456635,884,+
1457124,Primary.TSS,Rv1301,1456974,1457194,884,+
1458295,CDS,Rv1302,1458163,1458383,885,+
1459707,Primary.TSS,Rv1303,1459557,1459777,886,+
1460244,CDS,Rv1304,1460094,1460314,886,+
1461045,Primary.TSS,Rv1305,1460895,1461115,887,+
1461321,CDS,Rv1306,1461171,1461391,887,+
1461657,Primary.TSS,Rv1307,1461507,1461727,887,+
1463228,CDS,Rv1308,1463078,1463298,888,+
1464884,CDS,Rv1309,1464734,1464954,888,+
1465841,CDS,Rv1310,1465691,1465911,888,+
1467315,CDS,Rv1311,1467165,1467385,888,+
1467688,CDS,Rv1312,1467538,1467758,888,+
1469899,Primary.TSS,Rv1313c,1469829,1470049,889,-
1470252,Primary.TSS,Rv1314c,1470182,1470402,890,-
1470321,Primary.TSS,Rv1315,1470171,1470391,891,+
1477631,CDS,Rv1316c,1477561,1477781,892,-
1479118,Primary.TSS,Rv1317c,1479048,1479268,892,-
1480827,Primary.TSS,Rv1318c,1480757,1480977,893,-
1482504,Primary.TSS,Rv1319c,1482434,1482654,894,-
1484220,Primary.TSS,Rv1320c,1484150,1484370,894,-
1484244,Primary.TSS,Rv1321,1484094,1484314,895,+
1484982,CDS,Rv1322,1484832,1485052,895,+
1485771,Primary.TSS,Rv1322A,1485701,1485921,896,-
1485657,Primary.TSS,Rv1323,1485507,1485727,897,+
1487161,Primary.TSS,Rv1324,1487011,1487231,898,+
1490410,Primary.TSS,Rv1325c,1490340,1490560,899,-
1492312,CDS,Rv1326c,1492242,1492462,900,-
1494480,Primary.TSS,Rv1327c,1494410,1494630,900,-
1494554,Primary.TSS,Rv1328,1494404,1494624,901,+
1499189,CDS,Rv1329c,1499119,1499339,902,-
1500559,CDS,Rv1330c,1500489,1500709,902,-
1500661,Primary.TSS,Rv1331,1500511,1500731,903,+
1500926,CDS,Rv1332,1500776,1500996,903,+
1501599,CDS,Rv1333,1501449,1501669,903,+
1502641,CDS,Rv1334,1502491,1502711,903,+
1503103,CDS,Rv1335,1502953,1503173,903,+
1503394,CDS,Rv1336,1503244,1503464,903,+
1504330,Primary.TSS,Rv1337,1504180,1504400,903,+
1504880,Primary.TSS,Rv1338,1504730,1504950,903,+
1505917,CDS,Rv1339,1505767,1505987,903,+
1506321,Primary.TSS,Rv1340,1506171,1506391,903,+
1507421,Primary.TSS,Rv1341,1507271,1507491,903,+
1508546,CDS,Rv1342c,1508476,1508696,904,-
1508923,Primary.TSS,Rv1343c,1508853,1509073,904,-
1508968,CDS,Rv1344,1508818,1509038,905,+
1509076,Primary.TSS,Rv1345,1508926,1509146,905,+
1510751,Primary.TSS,Rv1346,1510601,1510821,905,+
1512606,Primary.TSS,Rv1347c,1512536,1512756,906,-
1512750,Primary.TSS,Rv1348,1512600,1512820,907,+
1515623,CDS,Rv1349,1515473,1515693,907,+
1517491,Primary.TSS,Rv1350,1517341,1517561,908,+
1518231,CDS,Rv1351,1518081,1518301,908,+
1518728,Primary.TSS,Rv1352,1518578,1518798,909,+
1519985,CDS,Rv1353c,1519915,1520135,910,-
1521874,Primary.TSS,Rv1354c,1521804,1522024,910,-
1524032,CDS,Rv1355c,1523962,1524182,910,-
1524820,CDS,Rv1356c,1524750,1524970,910,-
1526216,CDS,Rv1357c,1526146,1526366,911,-
1526612,CDS,Rv1358,1526462,1526682,912,+
1530173,CDS,Rv1359,1530609,1530829,913,+
1531328,Primary.TSS,Rv1360,1531178,1531398,914,+
1533662,Primary.TSS,Rv1361c,1533592,1533812,915,-
1534610,CDS,Rv1362c,1534540,1534760,916,-
1535392,CDS,Rv1363c,1535322,1535542,916,-
1537733,Primary.TSS,Rv1364c,1537663,1537883,917,-
1538240,Primary.TSS,Rv1365c,1538170,1538390,918,-
1538390,CDS,Rv1366,1538997,1539217,919,+
1540719,Primary.TSS,Rv1367c,1540649,1540869,920,-
1540808,Primary.TSS,Rv1368,1540658,1540878,921,+
1542878,CDS,Rv1369c,1542808,1543028,922,-
1543255,CDS,Rv1370c,1543185,1543405,923,-
1543359,CDS,Rv1371,1543209,1543429,924,+
1544825,CDS,Rv1372,1544675,1544895,924,+
1545892,Primary.TSS,Rv1373,1545742,1545962,924,+
1547530,CDS,Rv1374c,1547460,1547680,925,-
1547599,Primary.TSS,Rv1375,1547449,1547669,926,+
1549148,CDS,Rv1376,1548998,1549218,926,+
1551217,Primary.TSS,Rv1377c,1551147,1551367,927,-
1552655,CDS,Rv1378c,1552585,1552805,927,-
1552597,Primary.TSS,Rv1379,1552447,1552667,928,+
1553232,CDS,Rv1380,1553082,1553302,928,+
1554188,CDS,Rv1381,1554038,1554258,928,+
1555477,CDS,Rv1382,1555327,1555547,928,+
1555971,CDS,Rv1383,1555821,1556041,928,+
1557101,CDS,Rv1384,1556951,1557171,928,+
1560445,CDS,Rv1385,1560295,1560515,928,+
1561464,CDS,Rv1386,1561314,1561534,929,+
1561769,CDS,Rv1387,1561619,1561839,929,+
1563450,Primary.TSS,Rv1388,1563300,1563520,930,+
1564396,Primary.TSS,Rv1389,1564246,1564466,931,+
1565003,Primary.TSS,Rv1390,1564853,1565073,932,+
1565441,CDS,Rv1391,1565291,1565511,932,+
1566794,Primary.TSS,Rv1392,1566644,1566864,933,+
1569587,CDS,Rv1393c,1569517,1569737,934,-
1570969,Primary.TSS,Rv1394c,1570899,1571119,934,-
1571047,CDS,Rv1395,1570897,1571117,935,+
1573857,CDS,Rv1396c,1573787,1574007,936,-
1574687,Primary.TSS,Rv1397c,1574617,1574837,937,-
1574769,Primary.TSS,Rv1398c,1574699,1574919,937,-
1575809,Primary.TSS,Rv1399c,1575739,1575959,938,-
1576796,Primary.TSS,Rv1400c,1576726,1576946,938,-
1576746,Primary.TSS,Rv1401,1576596,1576816,939,+
1577613,CDS,Rv1402,1579401,1579621,940,+
1580471,Primary.TSS,Rv1403c,1580401,1580621,941,-
1580532,Primary.TSS,Rv1404,1580382,1580602,942,+
1582083,Primary.TSS,Rv1405c,1582013,1582233,943,-
1582166,Primary.TSS,Rv1406,1582016,1582236,944,+
1583101,CDS,Rv1407,1582951,1583171,944,+
1584499,CDS,Rv1408,1584349,1584569,944,+
1585194,CDS,Rv1409,1585044,1585264,944,+
1587766,CDS,Rv1410c,1587696,1587916,945,-
1588482,Primary.TSS,Rv1411c,1588412,1588632,945,-
1588495,Primary.TSS,Rv1412,1588345,1588565,946,+
1589154,Primary.TSS,Rv1413,1589004,1589224,947,+
1589891,CDS,Rv1414,1589741,1589961,947,+
1590348,Primary.TSS,Rv1415,1590198,1590418,948,+
1591466,Primary.TSS,Rv1416,1591316,1591536,948,+
1592150,CDS,Rv1417,1592000,1592220,948,+
1592639,Primary.TSS,Rv1418,1592489,1592709,948,+
1593502,Primary.TSS,Rv1419,1593352,1593572,949,+
1594042,Primary.TSS,Rv1420,1593892,1594112,950,+
1595979,CDS,Rv1421,1595829,1596049,950,+
1596483,Primary.TSS,Rv1422,1596333,1596553,950,+
1597906,CDS,Rv1423,1597756,1597976,950,+
1599654,CDS,Rv1424c,1599584,1599804,951,-
1599658,Primary.TSS,Rv1425,1599508,1599728,952,+
1602321,CDS,Rv1426c,1602251,1602471,953,-
1603928,CDS,Rv1427c,1603858,1604078,953,-
1604803,Primary.TSS,Rv1428c,1604733,1604953,953,-
1604878,CDS,Rv1429,1604728,1604948,954,+
1606253,Primary.TSS,Rv1430,1606103,1606323,955,+
1608050,Primary.TSS,Rv1431,1607900,1608120,956,+
1609849,CDS,Rv1432,1609699,1609919,956,+
1611403,Primary.TSS,Rv1433,1611253,1611473,957,+
1611935,Primary.TSS,Rv1434,1611785,1612005,957,+
1613045,Primary.TSS,Rv1435c,1612975,1613195,958,-
1613256,Primary.TSS,Rv1436,1613106,1613326,959,+
1613878,Primary.TSS,Rv1437,1613728,1613948,959,+
1615564,CDS,Rv1438,1615414,1615634,959,+
1617386,CDS,Rv1439c,1617316,1617536,960,-
1617837,Primary.TSS,Rv1440,1617687,1617907,961,+
1619684,CDS,Rv1441c,1619614,1619834,962,-
1619791,CDS,Rv1442,1619641,1619861,963,+
1622692,CDS,Rv1443c,1622622,1622842,964,-
1623697,CDS,Rv1444c,1623627,1623847,965,-
1624457,CDS,Rv1445c,1624387,1624607,965,-
1625365,CDS,Rv1446c,1625295,1625515,965,-
1626962,CDS,Rv1447c,1626892,1627112,966,-
1628080,CDS,Rv1448c,1628010,1628230,966,-
1630229,Primary.TSS,Rv1449c,1630159,1630379,966,-
1634627,CDS,Rv1450c,1634557,1634777,967,-
1634987,Primary.TSS,Rv1451,1634837,1635057,968,+
1638229,CDS,Rv1452c,1638159,1638379,969,-
1638225,Primary.TSS,Rv1453,1638075,1638295,970,+
1640660,Primary.TSS,Rv1454c,1640590,1640810,971,-
1640199,Primary.TSS,Rv1455,1640049,1640269,972,+
1642425,CDS,Rv1456c,1642355,1642575,973,-
1643322,CDS,Rv1457c,1643252,1643472,974,-
1644368,Primary.TSS,Rv1458c,1644298,1644518,974,-
1646138,CDS,Rv1459c,1646068,1646288,975,-
1646186,CDS,Rv1460,1646036,1646256,976,+
1646989,CDS,Rv1461,1646839,1647059,976,+
1649097,Primary.TSS,Rv1462,1648947,1649167,976,+
1650716,CDS,Rv1463,1650566,1650786,976,+
1651518,CDS,Rv1464,1651368,1651588,976,+
1652768,CDS,Rv1465,1652618,1652838,976,+
1653231,CDS,Rv1466,1653081,1653301,976,+
1655502,CDS,Rv1467c,1655432,1655652,977,-
1656751,Primary.TSS,Rv1468c,1656681,1656901,978,-
1656924,Primary.TSS,Rv1469,1656774,1656994,979,+
1658947,Primary.TSS,Rv1470,1658797,1659017,980,+
1659370,CDS,Rv1471,1659220,1659440,980,+
1659763,CDS,Rv1472,1659613,1659833,980,+
1660488,Primary.TSS,Rv1473,1660338,1660558,980,+
1662381,CDS,Rv1473A,1662231,1662451,981,+
1663204,CDS,Rv1474c,1663134,1663354,982,-
1666046,CDS,Rv1475c,1665976,1666196,982,-
1666181,Primary.TSS,Rv1476,1666031,1666251,983,+
1666920,Primary.TSS,Rv1477,1666770,1666990,984,+
1668419,CDS,Rv1478,1668269,1668489,984,+
1669138,Primary.TSS,Rv1479,1668988,1669208,985,+
1669952,Primary.TSS,Rv1480,1669802,1670022,985,+
1671377,CDS,Rv1481,1671227,1671447,985,+
1673299,CDS,Rv1482c,1673229,1673449,986,-
1673440,Primary.TSS,Rv1483,1673290,1673510,987,+
1674202,CDS,Rv1484,1674052,1674272,987,+
1675017,CDS,Rv1485,1674867,1675087,987,+
1676886,Primary.TSS,Rv1486c,1676816,1677036,988,-
1676941,Primary.TSS,Rv1487,1676791,1677011,989,+
1677397,CDS,Rv1488,1677247,1677467,989,+
1678552,Primary.TSS,Rv1489,1678402,1678622,989,+
1678942,CDS,Rv1489A,1678792,1679012,989,+
1679293,Primary.TSS,Rv1490,1679143,1679363,990,+
1681968,Primary.TSS,Rv1491c,1681898,1682118,991,-
1681857,Primary.TSS,Rv1492,1681707,1681927,992,+
1684005,CDS,Rv1493,1683855,1684075,992,+
1686271,CDS,Rv1494,1686121,1686341,992,+
1686570,CDS,Rv1495,1686420,1686640,992,+
1686884,CDS,Rv1496,1686734,1686954,992,+
1687941,Primary.TSS,Rv1497,1687791,1688011,993,+
1690388,Primary.TSS,Rv1498A,1690318,1690538,994,-
1690210,Primary.TSS,Rv1498c,1690140,1690360,995,-
1690407,CDS,Rv1499,1690257,1690477,996,+
1690850,CDS,Rv1500,1690700,1690920,997,+
1691890,CDS,Rv1501,1691740,1691960,997,+
1692646,Primary.TSS,Rv1502,1692496,1692716,998,+
1694544,CDS,Rv1503c,1694474,1694694,999,-
1695144,CDS,Rv1504c,1695074,1695294,999,-
1696388,Primary.TSS,Rv1505c,1696318,1696538,1000,-
1696628,Primary.TSS,Rv1506c,1696558,1696778,1000,-
1696858,Primary.TSS,Rv1507A,1696708,1696928,1001,+
1697806,Primary.TSS,Rv1507c,1697736,1697956,1002,-
1699808,Primary.TSS,Rv1508A,1699658,1699878,1003,+
1699894,CDS,Rv1508c,1699824,1700044,1004,-
1700212,CDS,Rv1509,1700062,1700282,1005,+
1701295,CDS,Rv1510,1701145,1701365,1006,+
1703020,Primary.TSS,Rv1511,1702870,1703090,1007,+
1704093,CDS,Rv1512,1703943,1704163,1007,+
1705058,CDS,Rv1513,1704908,1705128,1007,+
1706595,CDS,Rv1514c,1706525,1706745,1008,-
1707526,CDS,Rv1515c,1707456,1707676,1008,-
1708539,CDS,Rv1516c,1708469,1708689,1008,-
1708871,CDS,Rv1517,1708721,1708941,1009,+
1709539,Primary.TSS,Rv1518,1709389,1709609,1009,+
1710706,Primary.TSS,Rv1519,1710556,1710776,1010,+
1711028,CDS,Rv1520,1710878,1711098,1010,+
1712302,CDS,Rv1521,1713580,1713800,1011,+
1717612,Primary.TSS,Rv1522c,1717542,1717762,1012,-
1717653,CDS,Rv1523,1717503,1717723,1013,+
1718726,CDS,Rv1524,1718576,1718796,1013,+
1720017,CDS,Rv1525,1719989,1720209,1014,+
