,level_0,Unnamed: 0,index,EGRIN2.block,conds
916,916,916,1225,iron scavengers - antitubercular drugs,X0.5ug.mL..124196vsDMSO..6h X0.5ug.mL..124196vsDMSO..6hA X1.ug.mL..111891vsDMSO..6h X100uM.Dipyridylvsctrl..6h X100uM.DipyridylvsCtrl..6hA X150uM.Deferroxaminevsctrl..6hA X150uM.Deferroxaminevsctrl..6hB X1ug.mL..111891.DMSO..12h..1 X1ug.mL..111891.DMSO..12h..2 X1ug.mL..111891vsDMSO..6h X1ug.mL..111895vsDMSO..6h X1ug.mL..121940.DMSO..12h X1ug.mL..124196vsDMSO..6h X1ug.mL..124196vsDMSO..6hA X200uM.Dipyridylvsctrl..6hA X250uM.DeferroxaminevsDMSO..6h X2ug.mL..111891vsDMSO..6h X2ug.mL..111895vsDMSO..6h X2ug.mL..111895vsDMSO..6hB H37Rv.Ctrl.vs.10.ug.ml.garlic.extract.6hrs H37Rv.Ctrl.vs.5.ug.ml.garlic.extract.6hrs
917,917,917,1226,cell wall inhibitors - antitubercular drugs,X.109..10ug.mL..vs.DMSO..12h..replicate.1..GEO.acc..GSM28053. X.109..1ug.mL..vs.DMSO..12h..replicate.1..GEO.ac.GSM28051. X.241..0.1ug.mL..DMSO..12h..1..GEO.acc.GSM28046. X0.13mg.mL.TLMvsDMSO..6hA X0.15mg.mL.TricvsEtOH..6h X0.1mg.mLTriclosanvsEtOH.6hB X0.1mg.mLTriclosanvsEtOH.6hC X0.2mg.mL.AmpvsEtOH..6h X0.2mg.mL.AmpvsEtOH..6hA X0.2mg.mL.AmpvsEtOH..6hB X0.2mg.mL.AmpvsEtOH..6hC X0.2mg.mL.TLMvsEtOH..6h X0.2mg.mL.TLMvsEtOH..6hA X0.2ug.mL.INH.EtOH..6h X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.1 X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.2 X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.x X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.y X0.32ug.mL.CervsEtOH..6hA X0.4ug.mL.INHvsEtOH..6h X0.4ug.mL.INHvsEtOH..6hA X0.5ug.mL.CeruleninvsDMSO..6hC X0.5ug.mL.CervsEtOH..6h X0.5ug.mL.CervsEtOH..6hA X100ug.mL.Ceph.DMSO..6h X100ug.mLCephalexinvsEtOH.6h X100ug.mLCephalexinvsEtOH.6hA X10ug.mL..241.DMSO..6h X10ug.mL..241vsDMSO..6h X10ug.mL.EMBvsDMSO..6h X10ug.mL.EMBvsDMSO..6hA X10ug.mL.TriclosanvsDMSO..6h X10ug.mL.TriclosanvsDMSO..6hA X10ug.mL.TriclosanvsDMSO..6hB X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.x X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.y X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.2 X12ug.mLEthionamidevsEtOH.6h X12ug.mLEthionamidevsEtOH.6hA X1ug.mL..109vsDMSO..6hA X1ug.mL..241vsDMSO..6h X40ug.mL.EtavsEtOH..6h X40ug.mL.EtavsEtOH..6hA X50ug.mL.Triclosan.DMSO..6h X50ug.mL.Triclosan.EtOH DIPED..100ug.mL..DMSO..12h..1 DIPED..100ug.mL..DMSO..12h..2 DIPED..100ug.mL..DMSO..12h..3 DIPED.50ug.mL.vs.DMSO.12h.1 DIPED.50ug.mL.vs.DMSO.12h.2 EMB..10ug.mL..DMSO..12h EMB.10ug.mL.vs.DMSO.12h.1 EMB.10ug.mL.vs.DMSO.12h.2 EMB.10ug.mL.vs.DMSO.12h.3 H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.DS.rep.1 H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.DS.rep.2 H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.rep.1 H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.rep.2 X0.2mg.ml.TLM.vs.Ethanol.6hrs.rep.1 X0.2mg.ml.TLM.vs.Ethanol.6hrs.rep.2 X0.32ug.mL.Cerulenin.vs.Ethanol.6hrs.rep.2 X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.3 X0.5ug.mL.Cerulenin.vs.Ethanol..6hrs.rep.1 X0.5ug.mL.Cerulenin.vs.Ethanol..6hrs.rep.2
918,918,918,1228,low pH,Mtb.response.to.pH.6.5..6.replicates. pH4.8vspH6.8..11h. pH4.8vspH6.8..2h.A pH4.8vspH6.8..4h. pH4.8vspH6.8..4h.C pH4.8vspH6.8..5.5h. pH4.8vspH6.8..5h. pH4.8vspH6.8..6h. pH5.2vspH6.8..11h. pH5.2vspH6.8..16h. pH5.2vspH6.8..5.5h. pH5.6vspH6.8..11h. pH5.6vspH6.8..2h. pH5.6vspH6.8..2h.A pH5.6vspH6.8..4h.
919,919,919,1230,fatty acids - carbon source,AA_30uM_10.min_04 AA_30uM_10.min_06 AA_30uM_10m_01 AA_30uM_10min_02 AA_30uM_10min_03 AA_30uM_1h_01 AA_30uM_1h_04 AA_30uM_1h_05 AA_30uM_24h_02 AA_30uM_24h_03 AA_30uM_24h_04 AA_30uM_2h_01 AA_30uM_2h_02 AA_30uM_2h_04 AA_30uM_2h_09 AA_30uM_30min_02 AA_30uM_30min_03 AA_30uM_30min_04 AA_30uM_30min_05 AA_30uM_30min_06 AA_30uM_30min_09 AA_30uM_4h_01 AA_30uM_4h_02 AA_30uM_4h_03 AA_30uM_4h_05 AA_30uM_4h_09 AA_60uM_24h_01 AA_60uM_24h_02 AA_60uM_24h_03 L2A_30uM_10min_01 L2A_30uM_10min_02 L2A_30uM_10min_03 L2A_30uM_10min_07 L2A_30uM_10min_08 L2A_30uM_1h_01 L2A_30uM_1h_06 L2A_30uM_1h_07 L2A_30uM_2h_02 L2A_30uM_2h_03 L2A_30uM_2h_04 L2A_30uM_30min_01 L2A_30uM_30min_02 L2A_30uM_30min_03 L2A_30uM_30min_04 L2A_30uM_30min_05 L2A_30uM_30Min_06 L2A_30uM_30min_07 L2A_30uM_4h_07 LAA_50uM_10min_01 OA_50uM_10min_01 OA_50uM_10min_02 OA_50uM_10min_03 OA_50uM_10min_04 OA_50uM_10min_06 OA_50uM_10min_07 OA_50uM_10min_08 OA_50uM_1h_01 OA_50uM_1h_02 OA_50uM_1h_04 OA_50uM_1h_06 OA_50uM_1h_07 OA_50uM_1h_08 OA_50uM_1h_10 OA_50uM_24h_01 OA_50uM_24h_02 OA_50uM_24h_03 OA_50uM_24h_04 OA_50uM_24h_05 OA_50uM_24h_06 OA_50uM_2h_01 OA_50uM_2h_08 OA_50uM_30min_01 OA_50uM_30min_02 OA_50uM_30min_04 OA_50uM_30min_08 OA_50uM_30min_09 OA_50uM_4h_01 OA_50uM_4h_02 PA_10uM_10.min_01 PA_10uM_10min_02 PA_50uM_10.min_03 PA_50uM_10min_01 PA_50uM_10min_07 PA_50uM_10min_08 PA_50uM_10min_09 PA_50uM_10min_10 PA_50uM_1h_01 PA_50uM_1h_04 PA_50uM_1h_07 PA_50uM_1h_08 PA_50uM_1h_09 PA_50uM_1h_11 PA_50uM_1h_12 PA_50uM_24h_08 PA_50uM_30.min_05 PA_50uM_30.min_06 PA_50uM_30.min_07 PA_50uM_30min_01 PA_50uM_30min_03 PA_50uM_30min_09 PA_50uM_30min_10 PA_50uM_30min_11 PA_50uM_3d_01 PA_50uM_3d_02 PA_50uM_3d_03 PA_50uM_3d_04 PA_50uM_3d_05 PA_50uM_3d_06 PA_50uM_8h_01
920,920,920,1231,carbon monoxide stress,Mtb.Erdman.strain.20.ppm.CO.rep.2 Mtb.Erdman.strain.200.ppm.CO.rep.1 Mtb.Erdman.strain.200.ppm.CO.rep.2 Mtb.Erdman.strain.2000.ppm.CO.rep.1
921,921,921,1232,oxidative stress,A00437_Q1_t30_diamide A00437_Q2_t60_diamide H2O2.4mM.vs.ctrl.8h.1 H37Rv.diamide.1h.rep.2 H37Rv.wild.type.control.vs.5mM.Diamide.for.60.min.rep.3 H37Rv.wild.type.control.vs.5mM.Diamide.for.60.min.rep.4 H37Rv.wild.type.control.vs.5mM.Diamide.for.60.min.rep.5 H37Rv.wild.type.control.vs.5mM.Diamide.for.60.min.rep.6 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.2 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.6 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.2 X4mM.H2O2.ctrl..2h...2 X4mM.H2O2.ctrl..4h...1 X4mM.H2O2vsctrl..2h. X4mM.H2O2vsctrl..4h. X4mM.H2O2vsctrl..4h.A
922,922,922,1233,limited - carbon source,aceatate.induction.3 Acetate.3mM.10m.01 Acetate.3mM.10m.02 Acetate.3mM.10m.03 Acetate.3mM.10m.06 Acetate.3mM.10m.07 Acetate.3mM.10m_04 Acetate.3mM.2h.01 Acetate.3mM.2h.03 Acetate.3mM.2h.04 Acetate.3mM.2h.05 Acetate.3mM.2h.06 Acetate.3mM.30m.01 Acetate.3mM.30m.03 Acetate.3mM.30m.04 Acetate.3mM.30m.05 Acetate.3mM.30m.06 Acetate.3mM.30m.07 Acetate.3mM.30m.08 Acetate.3mM.60m.01 Acetate.3mM.60m.03 Acetate.3mM.60m.04
923,923,923,1235,low pH,pH4.8vspH6.8..11h. pH4.8vspH6.8..2h. pH4.8vspH6.8..2h.A pH4.8vspH6.8..2h.B pH4.8vspH6.8..4h. pH4.8vspH6.8..4h.B pH4.8vspH6.8..4h.C pH4.8vspH6.8..5.5h. pH4.8vspH6.8..5h. pH4.8vspH6.8..6h. pH4.8vspH6.8..7h. pH5.2vspH6.8..10.5h. pH5.2vspH6.8..11h. pH5.2vspH6.8..16h. pH5.2vspH6.8..2h. pH5.2vspH6.8..5.5h. pH5.2vspH6.8..5h. pH5.6vspH6.8..11h. pH5.6vspH6.8..16h. pH5.6vspH6.8..2h. pH5.6vspH6.8..2h.A pH5.6vspH6.8..4h. pH5.6vspH6.8..4h.B pH5.6vspH6.8..5h. pH5.6vspH6.8..7h.
924,924,924,1237,DNA damage,H2O2.4mM.vs.ctrl.12h.1 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.2 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.6 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.1 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.2 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.3 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.4 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.5 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.6 UV.40J.vs.8h.2 UV.40J.vs.ctrl.12h.1 UV.40J.vs.ctrl.8h.1 X25J.UVvs.ctrl..6h. X40mJ.UV.ctrl..6h. X60J.UV.ctrl..2h. X60J.UVvsctrl..6h. X4mM.H2O2.ctrl..2h...1 X4mM.H2O2.ctrl..2h...2 X4mM.H2O2.ctrl..4h...1 X4mM.H2O2.ctrl..4h...2 X4mM.H2O2vsctrl..1h. X4mM.H2O2vsctrl..2h.A X4mM.H2O2vsctrl..4h. X4mM.H2O2vsctrl..4h.A
925,925,925,1238,DNA damage - antitubercular drugs,Mtm.0.2ug.mL.vs.ctrl.12h.1.x Mtm.0.2ug.mL.vs.ctrl.8h.1.x Mtm.0.2ug.mL.vs.ctrl.8h.2.x X0.1ug.mL.Mtmvsctrl..0.33h..x X0.1ug.mL.Mtmvsctrl..0.75h..x X0.1ug.mL.Mtmvsctrl..1.5h..x X0.2ug.mL.Mtmvsctrl..4h..x X0.2ug.mL.Mtmvsctrl..0.33h..x X0.2ug.mL.Mtmvsctrl..0.75h..x X0.2ug.mL.Mtmvsctrl..1.5h..x X0.2ug.mL.Mtmvsctrl..2h.A.x X0.2ug.mL.Mtmvsctrl..2h.C.x X0.2ug.mL.Mtmvsctrl..4h.A.x X0.2ug.mL.Mtmvsctrl..4h.B.x X0.2ug.mL.Mtmvsctrl..6h..x X10ug.mL.LevovsEtOH..6hA X10ug.mL.Nvb.DMSO..6h..1 X10ug.mL.Nvb.DMSO..6h..2 X10ug.mL.Nvb.DMSO..6h..3 X10ug.mL.OfloxvsDMSO..6h X10ug.mL.OfloxvsDMSO..6hA X5ug.mL.OfloxvsEtOH..6h X0.1ug.mL.Mtmvsctrl..0.33h..y X0.1ug.mL.Mtmvsctrl..0.75h..y X0.1ug.mL.Mtmvsctrl..1.5h..y X0.2ug.mL.Mtm.ctrl..4h...2.y X0.2ug.mL.Mtmvsctrl..0.33h..y X0.2ug.mL.Mtmvsctrl..0.75h..y X0.2ug.mL.Mtmvsctrl..1.5h..y X0.2ug.mL.Mtmvsctrl..2h.B.y X0.2ug.mL.Mtmvsctrl..4h..y X0.2ug.mL.Mtmvsctrl..4h.A.y X0.2ug.mL.Mtmvsctrl..6h..y
926,926,926,1239,low oxygen,H37Rv.0.2..Oxygen..2h..3 MTB.strain.1254.Ctrl.vs.low.aeration..0.2..oxygen..2hr.rep.1 MTB.strain.1254.Ctrl.vs.low.aeration..0.2..oxygen..2hr.rep.2 MTB.strain.1254.Ctrl.vs.low.aeration..0.2..oxygen..2hr.rep.3 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.1 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.2 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.3 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.4 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.5 MTB1254.Day.0.vs.low.Oxygen.Day.4.rep.6 H37Rv.Day.0.vs.low.Oxygen.Day.4.rep.3 H37Rv.Day.0.vs.low.Oxygen.Day.4.rep.5 H37Rv.Day.0.vs.low.Oxygen.Day.4.rep.6
927,927,927,1240,oxidative stress,A00436_Q1_t30_diamide A00436_Q2_t60_diamide A00437_Q2_t60_diamide A00437_Q3_t90_diamide A00470_Q3_t90_diamide H2O2.4mM.vs.ctrl.8h.1 H37Rv.diamide.1h.rep.5 H37Rv.wild.type.control.vs.5mM.Diamide.for.60.min.rep.6 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.2 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.6 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.1 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.2 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.3 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.4 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.5 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.6 X4mM.H2O2.ctrl..2h...1 X4mM.H2O2.ctrl..2h...2 X4mM.H2O2.ctrl..4h...1 X4mM.H2O2.ctrl..4h...2 X4mM.H2O2vsctrl..1h. X4mM.H2O2vsctrl..2h.A X4mM.H2O2vsctrl..4h. X4mM.H2O2vsctrl..4h.A
928,928,928,1241,cell wall inhibitors - antitubercular drugs,H37Rv.O2.depleted..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.2 MTB1254.3524.2._INH_20MIN MTB1254_INH_20MIN X.109..0.1ug.mL..vs.DMSO..12h..GEO.acc.GSM28050. X.109..1ug.mL..vs.DMSO..12h..replicate.1..GEO.ac.GSM28051. X.109..1ug.mL..vs.DMSO..12h..replicate.2..GEO.acc.GSM28052. X.241..0.1ug.mL..DMSO..12h..1..GEO.acc.GSM28046. X.241..1ug.mL..DMSO..12h..1 X0.13mg.mL.TLMvsDMSO..6h X0.1mg.mL.TriclosanvsEtOH..6hA X0.1mg.mLTriclosanvsEtOH.6hB X0.1mg.mLTriclosanvsEtOH.6hC X0.2mg.mL.AmpvsEtOH..6h X0.2mg.mL.AmpvsEtOH..6hA X0.2mg.mL.AmpvsEtOH..6hB X0.2mg.mL.AmpvsEtOH..6hC X0.2mg.mL.TLMvsEtOH..6h X0.2mg.mL.TLMvsEtOH..6hA X0.2ug.mL.INH.EtOH..6h X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.1 X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.2 X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.x X0.32ug.mL.CervsEtOH..6h X0.32ug.mL.CervsEtOH..6hA X0.4ug.mL.INHvsEtOH..6h X0.4ug.mL.INHvsEtOH..6hA X0.5ug.mL.CeruleninvsDMSO..6hA X0.5ug.mL.CeruleninvsDMSO..6hB X0.5ug.mL.CeruleninvsDMSO..6hC X0.5ug.mL.CervsEtOH..6h X0.5ug.mL.CervsEtOH..6hA X100ug.mL.Ceph.DMSO..6h X100ug.mL.Cephalexin.Ctrl..6h X100ug.mL.Cphx.DMSO..6h X100ug.mLCephalexinvsEtOH.6h X100ug.mLCephalexinvsEtOH.6hA X10ug.mL..241vsDMSO..6h X10ug.mL.EMBvsDMSO..6h X10ug.mL.EMBvsDMSO..6hA X10ug.mL.TriclosanvsDMSO..6h X10ug.mL.TriclosanvsDMSO..6hA X10ug.mL.TriclosanvsDMSO..6hB X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.x X12ug.mLEthionamidevsEtOH.6h X12ug.mLEthionamidevsEtOH.6hA X130ug.mL.TLMvsDMSO..6h X130ug.mL.TLMvsDMSO..6hA X1ug.mL..109vsDMSO..6hA X1ug.mL..241vsDMSO..6h X1ug.mL..59vsDMSO..6hA X20ug.mL.Cephalexin.Ctrl..6h..1 X20ug.mL.Cephalexin.Ctrl..6h..2 X20ug.mL.ethambutol.DMSO X40ug.mL.EtavsEtOH..6h X40ug.mL.EtavsEtOH..6hA X50ug.mL.Triclosan.DMSO..6h X50ug.mL.Triclosan.EtOH DIPED..100ug.mL..DMSO..12h..1 DIPED..100ug.mL..DMSO..12h..3 DIPED..50ug.mL..DMSO..12h DIPED.50ug.mL.vs.DMSO.12h.1 DIPED.50ug.mL.vs.DMSO.12h.2 EMB.10ug.mL.vs.DMSO.12h.1 EMB.10ug.mL.vs.DMSO.12h.4 X0.2mg.ml.TLM.vs.Ethanol.6hrs.rep.1 X0.2mg.ml.TLM.vs.Ethanol.6hrs.rep.2 X0.32ug.mL.Cerulenin.vs.Ethanol.6hrs.rep.2 X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.3
